id,action,verb,noun
119,squeeze_water:excess,21,17
120,turn-off_water,15,17
121,open_water:tap,2,17
122,wash_knife,4,5
123,get_towel:paper,0,66
124,pour_salt,7,31
125,put_mixture,1,64
126,peel_carrot,16,40
127,look-in_cupboard,20,8
128,press_garlic,23,45
129,place_wrap,1,92
130,shake_bottle:oil,14,28
131,put-down_fork,1,18
132,throw_chopstick,8,117
133,take_tomato,0,30
134,take_tortilla,0,80
135,cut_sauce,5,41
136,turn-on_oven,12,56
137,put-down_oil,1,24
138,search-for_cucumber,38,94
139,wipe_water:excess,4,17
140,pick-out_cucumber,10,94
141,put_pot:coffee,1,15
142,clean_cover,4,102
143,put-down_chopstick,1,117
144,put_microwave,1,55
145,close_drawer,3,9
146,empty_pan,18,1
147,take_plastic,0,77
148,close_packet,3,77
149,put_bottle,1,28
150,put-down_beef,1,243
151,pour_cereal,7,96
152,open_lid,2,11
153,put-down_bread,1,52
154,pick-up_ham,0,237
155,close_freezer,3,112
156,put-down_meat,1,26
157,close_bag:rice,3,20
158,take_skin:potato,0,68
159,cut_meat,5,26
160,close_sauce:soy,3,41
161,put_bowl,1,6
162,pour_sauce,7,41
163,put-down_pepper,1,46
164,inspect_hand,20,12
165,turn-off_tap,15,3
166,dab-with_tissue,55,187
167,pick-up_ginger,0,119
168,take_lid,0,11
169,take_oil:olive,0,24
170,turn-on_light,12,113
171,stir_meat,6,26
172,move_cup:measuring,9,23
173,move_meat,9,26
174,pour_salad,7,54
175,pour_packaging,7,77
176,rinse_bottle:milk,4,28
177,put-in_pan,22,1
178,put-on_side,1,78
179,wash_colander,4,42
180,wash_lid,4,11
181,rinse_rest:spoon,4,318
182,wash_plate,4,4
183,dry_hand,11,12
184,move_tap,9,3
185,rinse_rag,4,32
186,take_glass,0,16
187,take_board:eating,0,88
188,wash_glass,4,16
189,spray_detergent,44,70
190,put-down_rag,1,32
191,take_towel:tea,0,65
192,pick_filter,0,59
193,close_machine:coffee,3,126
194,put-in_sugar,22,103
195,open_basket,2,125
196,shake_hand,14,12
197,pick-up_egg,0,50
198,put-down_trivet,1,165
199,shake_jar,14,60
200,put_glass,1,16
201,take_sponge,0,21
202,take_cutlery,0,75
203,wash_bowl,4,6
204,put-down_colander,1,42
205,place_peeler:potato,1,86
206,put_towel,1,65
207,lather_utensil,4,137
208,empty_bottle:milk,18,28
209,throw_counter,8,78
210,pick-up_liquid:washing,0,70
211,clean_maker:coffee,4,126
212,take-out_food,10,37
213,wipe_sink,4,33
214,put_lid,1,11
215,pour_coffee,7,58
216,grind_coffee,37,58
217,press_button,23,176
218,flip_grinder:coffee,32,163
219,insert_spoon,22,7
220,put-in_jug:measuring,22,105
221,empty_can,18,87
222,rinse_sponge,4,21
223,put_jug:measuring,1,105
224,wash_jug:measuring,4,105
225,shake_cloth,14,32
226,take_rag,0,32
227,wash_cup,4,23
228,throw-away_residue:food,8,37
229,search_fridge,38,10
230,turn-on_hob,12,47
231,dry_saucepan,11,1
232,open_bottle,2,28
233,adjust_flame,17,179
